source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
Resident M2,CD8.TEX,HLA-A,CD8A,0.833333333333333,11.5787183601312,11.0834116990644,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DPA1,LAG3,0.833333333333333,2.76814461590232,3.24677809805115,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DPB1,LAG3,0.833333333333333,2.64739970792245,3.0694640966757,3,7,1
IFN-stimulated,CD8.TPEX,HLA-C,CD8A,0.281818181818182,12.7927637720848,10.0633954835967,3,9,1
Resident M2,CD8.TPEX,HLA-DRB3,LAG3,0.488808409149915,0,2.27820839833507,3,7,1
CD8.TEX,Resident M2,CCL5,ACKR1,1,0,0,3,7,1
MRC1+ M2-like,CD8.TPEX,GRN,NTRK1,0.808239426233384,0,0,3,9,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DQA1,LAG3,0.833333333333333,2.26420587865308,2.52823739359595,3,7,1
CD8.TPEX,IFN-stimulated,TNFSF9,HLA-DPA1,0.680068877358518,0,0,3,9,1
IFN-stimulated,CD8.TEX,HLA-DRB3,LAG3,0.727272727272727,0.896967760475813,1.59179989478413,3,9,1
CD8.TPEX,Regulatory,TNFSF9,HLA-DPA1,1,0,0,3,7,1
CD8.TPEX,Resident M2,TNFSF9,HLA-DPA1,0.797351470111364,0,0,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-C,CD8A,0.383333333333333,12.1832003741448,10.6282911392779,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DRB5,LAG3,1,0.0936107323466863,0.151877071193639,3,9,1
Ciliated,CD8.TPEX,OMG,TNFRSF1B,0.548595465799934,0,1.67625008356215,3,5,1
CD8.TPEX,MRC1+ M2-like,TNFSF9,HLA-DPA1,0.680068877358518,0,0,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DPA1,LAG3,0.644461295362125,0,2.8661925005445,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DPB1,LAG3,0.644461295362125,0,2.5664788388536,3,7,1
CD8.TPEX,Ciliated,CCL5,SDC4,0.142857142857143,3.19525760656979,1.93537383712491,3,5,1
Regulatory,CD8.TEX,HLA-DQB1,LAG3,1,1.93305941906574,1.63529471755642,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-A,CD8A,0.266666666666667,12.0721291007045,9.98580512929517,3,7,1
Regulatory,CD8.TPEX,GRN,NTRK1,1,0,0,3,7,1
IFN-stimulated,CD8.TEX,CXCL9,CXCR3,0.481818181818182,1.3264895834757,1.01156083038569,3,9,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DRA,LAG3,0.666666666666667,3.38896297115015,3.94143918021457,3,7,1
IFN-stimulated,CD8.TEX,CD48,CD2,0.863636363636364,2.84756205189443,2.80647752481156,3,9,1
IFN-stimulated,CD8.TPEX,HLA-A,CD8A,0.145454545454545,12.2014242932662,9.6244953839029,3,9,1
MRC1+ M2-like,CD8.TEX,LGALS3,LAG3,1,2.24230545558288,2.14197424033576,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DQA1,LAG3,0.644461295362125,0,1.91931452691057,3,7,1
CD8.TEX,Resident M2,GZMB,IGF2R,0.516666666666667,2.30848050875012,1.22662335211648,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DQA1,LAG3,1,2.23557687577735,2.62650710913695,3,9,1
IFN-stimulated,CD8.TEX,HLA-DPA1,LAG3,0.6,2.58305747650733,3.20131599964198,3,9,1
IFN-stimulated,CD8.TPEX,HLA-DRB3,LAG3,0.451522265833382,0,2.0391129874975,3,9,1
Resident M2,CD8.TPEX,GRN,NTRK1,1,0,0,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DRA,LAG3,0.863636363636364,3.30661025258702,4.1588218335137,3,9,1
IFN-stimulated,CD8.TPEX,GRN,NTRK1,0.808239426233384,0,0,3,9,1
