source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
SPP1+ immunosuppressive,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00681820800767438,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
IFN-stimulated,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.00322980715410995,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Lipid-associated,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.00337082160948894,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
M2-SIGLEC8+,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.000867719392755922,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
MRC1+ M2-like,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.002846021831283,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Regulatory,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.00508997878956717,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Resident M2,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.000671207808488526,0.01,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
SPP1+ immunosuppressive,M2-SIGLEC8+,TGFB1,ACVR1_TGFbR,0.00440894041718409,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
IFN-stimulated,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.00336297072082286,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Lipid-associated,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.00350977866999483,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
