source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
Lipid-associated,IFN-stimulated,TGM2,SDC4,1,53717.3333333333,0.753330514940843,42019,0.00299017403971722,58042,-0.168092972102036,61091
CD8.TEX,M2-SIGLEC8+,S100A4,CCR5,1,46577.3333333333,0.753327318193479,42021,0.00319074462338833,57014,0.144331306121806,40697
Stress-response,Ciliated,FN1,CD44,1,58980.3333333333,0.753300869193079,42023,0.000894036620883312,67219,-0.461594104271513,67699
M2-SIGLEC8+,Monocyte-derived,PTPN6,CLEC12A,1,44574,0.753279102058277,42025,0.00580692179307034,42907,0.037458061653002,48790
Ciliated,tumor_NMPR,HSP90B1,TLR4,1,58973,0.753244100880015,42029,0.00082465456796135,67485,-0.431063993136326,67405
Stress-response,MRC1+ M2-like,YBX1,NOTCH1,1,49318,0.753233702221418,42032,0.00372568051888902,54230,-0.00284806663853012,51692
Stress-response,normal_NMPR,GNAS,ADCY7,1,57369.3333333333,0.753233281018606,42033,0.00137185561137777,65254,-0.28390935365725,64821
Ciliated,M2-SIGLEC8+,VEGFA,NRP2,1,51600.3333333333,0.753208464367336,42036,0.00215435507481459,61882,0.00851490701806956,50883
tumor_NMPR,Regulatory,CD55,ADGRE2,1,46399,0.753180291068548,42040,0.00422903713772323,51614,0.0817048432569816,45543
Resident M2,Lipid-associated,ICAM1,SPN,1,45643,0.753178790358337,42041,0.00314509698627966,57256,0.183379937429498,37632
Resident M2,tumor_NMPR,SPP1,ITGAV_ITGB1,1,57539,0.753167784931097,42042,0.00107258970607438,66503,-0.255331605204226,64072
Stress-response,MRC1+ M2-like,GNAS,ADRB2,1,46725.3333333333,0.75316506510751,42044,0.00589501150952484,42428,-0.0637122093429489,55704
SPP1+ immunosuppressive,Resident M2,CXCL10,TLR4,1,39398,0.753158966419133,42045,0.00400684418992434,52843,0.383541828710227,23306
CD8.TEX,normal_NMPR,GPI,AMFR,1,53749.6666666667,0.753153597063559,42046,0.00355501061642504,55100,-0.256388082339344,64103
Ciliated,Monocyte-derived,SPP1,ITGAV_ITGB1,1,55089,0.75312986080679,42048,0.00107215220956595,66504,-0.081451577096445,56715
IFN-stimulated,tumor_NMPR,SPINT1,ST14,1,44952.3333333333,0.753114852805348,42054,0.00628103340972997,40243,-0.0150936590686092,52560
