tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
Monocyte FCN1+,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.001133607,0.124573007,0.131300634,0.003114372
Monocyte FCN1+,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.001311035,0.148463737,0.155652912,0.003277588
Monocyte FCN1+,HALLMARK_XENOBIOTIC_METABOLISM,0.001486152,0.056505002,0.059588246,0.003538458
Monocyte FCN1+,HALLMARK_G2M_CHECKPOINT,0.001747758,0.058240443,0.054498928,0.003972178
Monocyte FCN1+,HALLMARK_DNA_REPAIR,0.002578551,0.063920674,0.066777817,0.005605545
Monocyte FCN1+,HALLMARK_COAGULATION,0.003703957,0.081928889,0.086818483,0.007716577
Monocyte FCN1+,HALLMARK_SPERMATOGENESIS,0.004161771,0.010974033,0.009949824,0.008323543
Monocyte FCN1+,HALLMARK_MYC_TARGETS_V1,0.005056865,0.184261343,0.189305109,0.009724741
Monocyte FCN1+,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.010528217,0.148260986,0.154185423,0.019496697
Monocyte FCN1+,HALLMARK_MYOGENESIS,0.028488634,0.046206681,0.044362272,0.050872561
Monocyte FCN1+,HALLMARK_UV_RESPONSE_DN,0.035681114,0.050243238,0.048118554,0.061519162
Monocyte FCN1+,HALLMARK_HEDGEHOG_SIGNALING,0.038857027,0.047840027,0.045861927,0.064761712
Monocyte FCN1+,HALLMARK_APICAL_JUNCTION,0.044574726,0.06992408,0.072288317,0.071894719
Monocyte FCN1+,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04741653,0.257166845,0.267550018,0.074088328
Monocyte FCN1+,HALLMARK_E2F_TARGETS,0.053508976,0.03660861,0.038263666,0.081074206
Monocyte FCN1+,HALLMARK_INFLAMMATORY_RESPONSE,0.074622864,0.128645052,0.132182029,0.109739507
Monocyte FCN1+,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.115500054,0.122554053,0.126945733,0.165000076
Monocyte FCN1+,HALLMARK_IL2_STAT5_SIGNALING,0.132353604,0.108980617,0.112474874,0.18382445
Monocyte FCN1+,HALLMARK_HYPOXIA,0.191620727,0.153398535,0.156814934,0.258946929
Monocyte FCN1+,HALLMARK_ANDROGEN_RESPONSE,0.234020415,0.09293538,0.094442053,0.307921599
Monocyte FCN1+,HALLMARK_NOTCH_SIGNALING,0.254137567,0.042467139,0.043820568,0.325817394
Monocyte FCN1+,HALLMARK_KRAS_SIGNALING_UP,0.278397132,0.088678992,0.090674348,0.347996414
Monocyte FCN1+,HALLMARK_BILE_ACID_METABOLISM,0.380678813,0.024566715,0.025118759,0.43258956
Monocyte FCN1+,HALLMARK_ESTROGEN_RESPONSE_LATE,0.373874664,0.064744552,0.067422294,0.43258956
Monocyte FCN1+,HALLMARK_HEME_METABOLISM,0.364285905,0.054908896,0.053777242,0.43258956
Monocyte FCN1+,HALLMARK_TGF_BETA_SIGNALING,0.360887677,0.137338867,0.1355216,0.43258956
Monocyte FCN1+,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.444950065,0.045919971,0.045053591,0.494388962
Monocyte FCN1+,HALLMARK_ALLOGRAFT_REJECTION,0.53664462,0.156197749,0.153297606,0.570898532
Monocyte FCN1+,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.530731516,0.119347606,0.120342301,0.570898532
Monocyte FCN1+,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.635251841,0.029321062,0.030850927,0.661720668
Monocyte FCN1+,HALLMARK_KRAS_SIGNALING_DN,0.721207811,0.012579493,0.013026081,0.735926338
Monocyte FCN1+,HALLMARK_PANCREAS_BETA_CELLS,0.822973727,0.04102315,0.040803481,0.822973727
Proliferating,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.35E-29,0.089664433,0.146095476,6.76E-28
Proliferating,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.88E-23,0.110091104,0.156005716,4.70E-22
Proliferating,HALLMARK_COMPLEMENT,1.37E-16,0.102750982,0.12593069,2.29E-15
Proliferating,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,6.39E-15,0.105434229,0.128573093,7.99E-14
Proliferating,HALLMARK_INFLAMMATORY_RESPONSE,5.95E-12,0.079308682,0.102095391,5.95E-11
Proliferating,HALLMARK_MTORC1_SIGNALING,4.46E-11,0.121448732,0.138099321,3.72E-10
Proliferating,HALLMARK_KRAS_SIGNALING_UP,5.73E-11,0.064228296,0.077718828,4.09E-10
Proliferating,HALLMARK_APOPTOSIS,2.55E-10,0.121645459,0.141870095,1.59E-09
Proliferating,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.72E-09,0.083270178,0.100922066,9.55E-09
Proliferating,HALLMARK_APICAL_SURFACE,4.07E-09,0.029641594,0.044085525,2.03E-08
Proliferating,HALLMARK_UV_RESPONSE_UP,5.14E-09,0.104447088,0.122137864,2.34E-08
Proliferating,HALLMARK_ALLOGRAFT_REJECTION,3.55E-07,0.132868882,0.146927474,1.48E-06
Proliferating,HALLMARK_TNFA_SIGNALING_VIA_NFKB,4.42E-07,0.172506252,0.209989282,1.70E-06
Proliferating,HALLMARK_COAGULATION,9.17E-07,0.067033418,0.079206115,3.28E-06
Proliferating,HALLMARK_GLYCOLYSIS,2.62E-06,0.069287245,0.076807788,8.73E-06
Proliferating,HALLMARK_KRAS_SIGNALING_DN,3.51E-06,0.012625938,0.016764916,1.10E-05
Proliferating,HALLMARK_PROTEIN_SECRETION,6.04E-06,0.083954099,0.096695947,1.78E-05
Proliferating,HALLMARK_ESTROGEN_RESPONSE_LATE,2.49E-05,0.053620936,0.059267596,6.54E-05
Proliferating,HALLMARK_UV_RESPONSE_DN,2.40E-05,0.048134365,0.041518291,6.54E-05
Proliferating,HALLMARK_MYC_TARGETS_V2,6.47E-05,0.067693372,0.075654539,0.000161762
Proliferating,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.000160236,0.106634416,0.116599204,0.000381515
Proliferating,HALLMARK_APICAL_JUNCTION,0.000320583,0.063860307,0.069710611,0.000728597
Proliferating,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.000454275,0.09001155,0.101732502,0.000987555
Proliferating,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000557927,0.120539606,0.133995157,0.001162347
Proliferating,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.001495147,0.073165416,0.081280815,0.002990294
Proliferating,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.003645136,0.126827438,0.138185066,0.007009878
Proliferating,HALLMARK_FATTY_ACID_METABOLISM,0.006168657,0.074267396,0.079079394,0.011423439
Proliferating,HALLMARK_PEROXISOME,0.008058627,0.058934502,0.064155706,0.013894185
Proliferating,HALLMARK_TGF_BETA_SIGNALING,0.00792141,0.096013331,0.108583286,0.013894185
Proliferating,HALLMARK_MYC_TARGETS_V1,0.009924516,0.192061451,0.205017864,0.016007284
Proliferating,HALLMARK_PANCREAS_BETA_CELLS,0.009778388,0.034386617,0.040216289,0.016007284
Proliferating,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.013526139,0.033499464,0.036298678,0.021134593
Proliferating,HALLMARK_ANDROGEN_RESPONSE,0.022135755,0.080550602,0.087410915,0.033539023
Proliferating,HALLMARK_IL2_STAT5_SIGNALING,0.025052412,0.085760948,0.089894113,0.036379141
Proliferating,HALLMARK_P53_PATHWAY,0.025465398,0.110928903,0.114428367,0.036379141
Proliferating,HALLMARK_ADIPOGENESIS,0.027379083,0.076339764,0.080555556,0.038026504
Proliferating,HALLMARK_NOTCH_SIGNALING,0.037447843,0.034104314,0.042214358,0.050605193
Proliferating,HALLMARK_E2F_TARGETS,0.039796602,0.078592354,0.085673455,0.05236395
Proliferating,HALLMARK_XENOBIOTIC_METABOLISM,0.051280926,0.048138621,0.046881029,0.065744777
Proliferating,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.064173112,0.018124869,0.016578901,0.08021639
Proliferating,HALLMARK_BILE_ACID_METABOLISM,0.149801575,0.02381674,0.021104458,0.182684847
Proliferating,HALLMARK_DNA_REPAIR,0.330825528,0.065297765,0.066154206,0.393839914
Proliferating,HALLMARK_G2M_CHECKPOINT,0.40690544,0.094053233,0.093126116,0.462392545
