source,tam_state,response,mean_activity
STAT1,Monocyte FCN1+,pCR,8.72298511346381
STAT1,Proliferating,MPR,6.63872310885951
STAT1,Proliferating,non-MPR,9.8875605969768
STAT1,Proliferating,pCR,6.81754440124948
STAT1,Resident M2,MPR,9.60704548555808
STAT1,Resident M2,non-MPR,11.8389219541972
STAT1,Resident M2,pCR,9.92547003725965
STAT1,Stress-response,MPR,7.82218393114593
STAT1,Stress-response,non-MPR,9.92899647525875
STAT1,Stress-response,pCR,8.59592987342063
