source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Lipid-associated,CD8.MAIT,CXCL16,CXCR6,0.00551339702439053,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Proliferating,CD8.MAIT,CXCL16,CXCR6,0.00463096805473564,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Resident M2,CD8.MAIT,CXCL16,CXCR6,0.0150620502877361,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Stress-response,CD8.MAIT,CXCL16,CXCR6,0.00445162410112273,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,CD8.TEX,CXCL16,CXCR6,0.0388570085861936,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.TEX,CXCL16,CXCR6,0.0588269390514698,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,CD8.TEX,CXCL16,CXCR6,0.0506442594289776,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,CD8.TEX,CXCL16,CXCR6,0.0189195547196678,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Proliferating,CD8.TEX,CXCL16,CXCR6,0.0159258075624783,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Resident M2,CD8.TEX,CXCL16,CXCR6,0.0505071520565158,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Stress-response,CD8.TEX,CXCL16,CXCR6,0.0153157777931795,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
